JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
3,1,1,1,2,11,67,43,3,3,0,0,R2,10,1,0,52,23,2
4,1,6,1,2,21,16,54,4,4,0,0,U1,9,4,1,7,18,2
4,2,6,1,0,4,21,0,4,0,0,0,R3,2,4,0,14,0,0
4,1,6,2,0,0,24,0,4,0,0,0,R2,3,0,0,18,0,0
4,1,1,1,1,17,54,49,4,4,0,0,U2,9,1,1,52,7,0
4,1,1,1,2,19,50,28,4,4,0,0,U1,11,1,1,23,23,0
4,1,4,1,2,5,60,0,4,0,0,0,U1,5,1,0,18,17,0
3,1,1,2,1,7,45,23,4,4,0,0,U1,1,1,1,5,18,0
2,4,2,2,1,7,29,68,4,4,0,0,U1,5,1,4,4,18,1
A,2,1,1,1,12,78,51,4,4,0,0,U1,1,0,0,5,18,0
1,1,1,1,2,14,92,47,4,4,0,0,U1,9,1,1,7,18,0
5,1,7,2,2,18,60,78,4,0,0,0,U1,3,1,0,17,16,0
4,1,1,1,1,16,61,58,4,4,0,0,U1,9,4,1,50,18,1
1,1,1,1,1,19,18,52,4,4,0,0,U1,1,1,1,23,52,0
1,1,1,2,1,14,58,72,4,0,0,0,U1,9,1,1,23,23,0
4,1,1,2,0,17,51,0,0,0,0,0,U1,2,1,0,1,0,1
3,1,1,1,1,15,61,25,4,4,0,0,U1,4,2,4,5,18,1
4,1,1,2,0,14,70,0,4,0,0,0,R1,2,1,0,18,0,0
4,1,1,1,0,16,22,0,4,0,0,0,R1,2,4,0,49,0,0
4,1,1,14,3,14,76,64,2,4,0,0,R1,5,1,1,8,18,0
4,1,6,1,0,21,36,0,1,0,0,0,R1,3,2,0,18,0,0
